OrderID,Product,Quantity,Price,Category,Total,CustomerID,Name,City,Discount Price
91,Kulaklık,3,1486,Aksesuar,4458,C001,Ali,İstanbul,1337.4
109,Kulaklık,1,4953,Aksesuar,4953,C004,Zeynep,Bursa,4457.7
137,Telefon,4,4190,Elektronik,16760,C005,Ahmet,Antalya,3771.0
167,Kulaklık,2,4530,Aksesuar,9060,C001,Ali,İstanbul,4077.0
71,Mouse,2,4783,Aksesuar,9566,C005,Ahmet,Antalya,4304.7
161,Laptop,3,500,Elektronik,1500,C004,Zeynep,Bursa,450.0
334,Tablet,2,4551,Elektronik,9102,C001,Ali,İstanbul,4095.9
471,Kulaklık,3,4267,Aksesuar,12801,C005,Ahmet,Antalya,3840.3
422,Monitor,2,3553,Elektronik,7106,C003,Mehmet,İzmir,3197.7000000000003
453,Laptop,3,3999,Elektronik,11997,C001,Ali,İstanbul,3599.1
116,Monitor,1,581,Elektronik,581,C005,Ahmet,Antalya,522.9
329,Mouse,1,2239,Aksesuar,2239,C001,Ali,İstanbul,2015.1000000000001
30,Mouse,1,4666,Aksesuar,4666,C001,Ali,İstanbul,4199.400000000001
62,Tablet,2,2757,Elektronik,5514,C001,Ali,İstanbul,2481.3
314,Laptop,1,3211,Elektronik,3211,C004,Zeynep,Bursa,2889.9
395,Telefon,3,2607,Elektronik,7821,C004,Zeynep,Bursa,2346.3
37,Mouse,3,3001,Aksesuar,9003,C004,Zeynep,Bursa,2700.9
198,Kulaklık,2,3621,Aksesuar,7242,C005,Ahmet,Antalya,3258.9
143,Monitor,2,1441,Elektronik,2882,C002,Ayşe,Ankara,1296.9
413,Klavye,2,2304,Aksesuar,4608,C004,Zeynep,Bursa,2073.6
86,Klavye,2,4897,Aksesuar,9794,C002,Ayşe,Ankara,4407.3
216,Klavye,3,4892,Aksesuar,14676,C002,Ayşe,Ankara,4402.8
55,Mouse,2,3530,Aksesuar,7060,C005,Ahmet,Antalya,3177.0
356,Kulaklık,2,3217,Aksesuar,6434,C002,Ayşe,Ankara,2895.3
410,Mouse,2,3442,Aksesuar,6884,C005,Ahmet,Antalya,3097.8
210,Kulaklık,2,4224,Aksesuar,8448,C001,Ali,İstanbul,3801.6
65,Kulaklık,4,174,Aksesuar,696,C001,Ali,İstanbul,156.6
278,Monitor,4,4355,Elektronik,17420,C005,Ahmet,Antalya,3919.5
39,Telefon,4,4788,Elektronik,19152,C001,Ali,İstanbul,4309.2
357,Mouse,3,1790,Aksesuar,5370,C004,Zeynep,Bursa,1611.0
437,Mouse,4,892,Aksesuar,3568,C002,Ayşe,Ankara,802.8000000000001
445,Klavye,1,3480,Aksesuar,3480,C005,Ahmet,Antalya,3132.0
403,Telefon,1,3709,Elektronik,3709,C003,Mehmet,İzmir,3338.1
31,Tablet,2,3290,Elektronik,6580,C001,Ali,İstanbul,2961.0
263,Laptop,2,2653,Elektronik,5306,C005,Ahmet,Antalya,2387.7000000000003
414,Tablet,1,1198,Elektronik,1198,C002,Ayşe,Ankara,1078.2
117,Laptop,4,253,Elektronik,1012,C005,Ahmet,Antalya,227.70000000000002
162,Monitor,1,4090,Elektronik,4090,C003,Mehmet,İzmir,3681.0
398,Mouse,4,3204,Aksesuar,12816,C003,Mehmet,İzmir,2883.6
102,Kulaklık,3,286,Aksesuar,858,C003,Mehmet,İzmir,257.40000000000003
139,Kulaklık,1,429,Aksesuar,429,C004,Zeynep,Bursa,386.1
95,Tablet,2,3463,Elektronik,6926,C004,Zeynep,Bursa,3116.7000000000003
159,Klavye,3,4973,Aksesuar,14919,C004,Zeynep,Bursa,4475.7
299,Klavye,4,1518,Aksesuar,6072,C001,Ali,İstanbul,1366.2
459,Telefon,1,3444,Elektronik,3444,C003,Mehmet,İzmir,3099.6
470,Telefon,3,2868,Elektronik,8604,C005,Ahmet,Antalya,2581.2000000000003
5,Tablet,3,1411,Elektronik,4233,C003,Mehmet,İzmir,1269.9
282,Klavye,1,2130,Aksesuar,2130,C001,Ali,İstanbul,1917.0
463,Klavye,3,620,Aksesuar,1860,C004,Zeynep,Bursa,558.0
61,Laptop,1,3280,Elektronik,3280,C001,Ali,İstanbul,2952.0
204,Laptop,1,4446,Elektronik,4446,C001,Ali,İstanbul,4001.4
104,Telefon,4,1350,Elektronik,5400,C002,Ayşe,Ankara,1215.0
157,Mouse,2,146,Aksesuar,292,C003,Mehmet,İzmir,131.4
466,Tablet,1,2533,Elektronik,2533,C001,Ali,İstanbul,2279.7000000000003
12,Laptop,2,922,Elektronik,1844,C005,Ahmet,Antalya,829.8000000000001
454,Klavye,3,4573,Aksesuar,13719,C002,Ayşe,Ankara,4115.7
49,Telefon,4,2673,Elektronik,10692,C003,Mehmet,İzmir,2405.7000000000003
57,Laptop,1,2641,Elektronik,2641,C003,Mehmet,İzmir,2376.9
389,Klavye,3,786,Aksesuar,2358,C004,Zeynep,Bursa,707.4
436,Tablet,3,3156,Elektronik,9468,C005,Ahmet,Antalya,2840.4
472,Laptop,4,3960,Elektronik,15840,C001,Ali,İstanbul,3564.0
343,Monitor,2,2819,Elektronik,5638,C005,Ahmet,Antalya,2537.1
450,Telefon,2,4544,Elektronik,9088,C004,Zeynep,Bursa,4089.6
144,Klavye,1,3763,Aksesuar,3763,C003,Mehmet,İzmir,3386.7000000000003
193,Laptop,1,1020,Elektronik,1020,C005,Ahmet,Antalya,918.0
494,Monitor,3,813,Elektronik,2439,C002,Ayşe,Ankara,731.7
234,Mouse,2,245,Aksesuar,490,C002,Ayşe,Ankara,220.5
321,Monitor,4,3211,Elektronik,12844,C005,Ahmet,Antalya,2889.9
230,Klavye,3,3600,Aksesuar,10800,C001,Ali,İstanbul,3240.0
289,Klavye,3,1390,Aksesuar,4170,C003,Mehmet,İzmir,1251.0
272,Tablet,3,2014,Elektronik,6042,C005,Ahmet,Antalya,1812.6000000000001
257,Laptop,3,3501,Elektronik,10503,C003,Mehmet,İzmir,3150.9
344,Monitor,4,3608,Elektronik,14432,C003,Mehmet,İzmir,3247.2000000000003
120,Mouse,3,2443,Aksesuar,7329,C004,Zeynep,Bursa,2198.7000000000003
336,Mouse,4,3838,Aksesuar,15352,C005,Ahmet,Antalya,3454.2000000000003
13,Mouse,3,1043,Aksesuar,3129,C001,Ali,İstanbul,938.7
478,Monitor,4,4802,Elektronik,19208,C003,Mehmet,İzmir,4321.8
488,Telefon,1,1676,Elektronik,1676,C005,Ahmet,Antalya,1508.4
411,Telefon,2,986,Elektronik,1972,C001,Ali,İstanbul,887.4
202,Kulaklık,1,645,Aksesuar,645,C004,Zeynep,Bursa,580.5
126,Telefon,1,4326,Elektronik,4326,C005,Ahmet,Antalya,3893.4
417,Tablet,1,3255,Elektronik,3255,C001,Ali,İstanbul,2929.5
1,Monitor,2,3400,Elektronik,6800,C002,Ayşe,Ankara,3060.0
8,Telefon,1,4083,Elektronik,4083,C003,Mehmet,İzmir,3674.7000000000003
369,Klavye,1,4002,Aksesuar,4002,C004,Zeynep,Bursa,3601.8
284,Tablet,3,2476,Elektronik,7428,C001,Ali,İstanbul,2228.4
66,Telefon,4,2275,Elektronik,9100,C004,Zeynep,Bursa,2047.5
429,Tablet,3,4765,Elektronik,14295,C002,Ayşe,Ankara,4288.5
4,Kulaklık,3,2243,Aksesuar,6729,C001,Ali,İstanbul,2018.7
166,Kulaklık,4,3953,Aksesuar,15812,C003,Mehmet,İzmir,3557.7000000000003
415,Tablet,1,1923,Elektronik,1923,C001,Ali,İstanbul,1730.7
288,Laptop,2,3781,Elektronik,7562,C001,Ali,İstanbul,3402.9
262,Laptop,2,2900,Elektronik,5800,C002,Ayşe,Ankara,2610.0
203,Laptop,2,2561,Elektronik,5122,C004,Zeynep,Bursa,2304.9
283,Telefon,1,3260,Elektronik,3260,C003,Mehmet,İzmir,2934.0
196,Tablet,3,592,Elektronik,1776,C002,Ayşe,Ankara,532.8000000000001
206,Klavye,4,1904,Aksesuar,7616,C005,Ahmet,Antalya,1713.6000000000001
201,Monitor,1,3341,Elektronik,3341,C005,Ahmet,Antalya,3006.9
362,Laptop,3,4643,Elektronik,13929,C005,Ahmet,Antalya,4178.7
178,Telefon,4,3142,Elektronik,12568,C005,Ahmet,Antalya,2827.8
346,Telefon,2,1674,Elektronik,3348,C004,Zeynep,Bursa,1506.6000000000001
281,Telefon,4,992,Elektronik,3968,C005,Ahmet,Antalya,892.8000000000001
440,Kulaklık,4,2355,Aksesuar,9420,C001,Ali,İstanbul,2119.5
452,Telefon,2,792,Elektronik,1584,C004,Zeynep,Bursa,712.8000000000001
433,Mouse,2,3333,Aksesuar,6666,C002,Ayşe,Ankara,2999.7000000000003
279,Laptop,3,4169,Elektronik,12507,C001,Ali,İstanbul,3752.1
177,Telefon,1,1034,Elektronik,1034,C005,Ahmet,Antalya,930.6
9,Tablet,3,4647,Elektronik,13941,C005,Ahmet,Antalya,4182.3
446,Laptop,2,619,Elektronik,1238,C001,Ali,İstanbul,557.1
225,Laptop,2,4535,Elektronik,9070,C005,Ahmet,Antalya,4081.5
236,Klavye,3,531,Aksesuar,1593,C001,Ali,İstanbul,477.90000000000003
428,Tablet,1,1782,Elektronik,1782,C004,Zeynep,Bursa,1603.8
400,Kulaklık,3,3094,Aksesuar,9282,C001,Ali,İstanbul,2784.6
451,Klavye,1,1059,Aksesuar,1059,C005,Ahmet,Antalya,953.1
214,Monitor,2,344,Elektronik,688,C005,Ahmet,Antalya,309.6
366,Monitor,1,3626,Elektronik,3626,C004,Zeynep,Bursa,3263.4
443,Klavye,1,1084,Aksesuar,1084,C005,Ahmet,Antalya,975.6
352,Telefon,1,2112,Elektronik,2112,C002,Ayşe,Ankara,1900.8
305,Telefon,2,1013,Elektronik,2026,C001,Ali,İstanbul,911.7
249,Kulaklık,3,1563,Aksesuar,4689,C004,Zeynep,Bursa,1406.7
171,Tablet,3,1621,Elektronik,4863,C003,Mehmet,İzmir,1458.9
253,Telefon,1,4967,Elektronik,4967,C004,Zeynep,Bursa,4470.3
100,Klavye,1,2158,Aksesuar,2158,C003,Mehmet,İzmir,1942.2
444,Mouse,1,3776,Aksesuar,3776,C004,Zeynep,Bursa,3398.4
208,Klavye,3,3910,Aksesuar,11730,C005,Ahmet,Antalya,3519.0
215,Mouse,1,4943,Aksesuar,4943,C005,Ahmet,Antalya,4448.7
16,Mouse,3,2298,Aksesuar,6894,C002,Ayşe,Ankara,2068.2000000000003
276,Tablet,4,2209,Elektronik,8836,C004,Zeynep,Bursa,1988.1000000000001
127,Mouse,2,3669,Aksesuar,7338,C005,Ahmet,Antalya,3302.1
42,Telefon,3,2206,Elektronik,6618,C005,Ahmet,Antalya,1985.4
163,Monitor,1,3257,Elektronik,3257,C003,Mehmet,İzmir,2931.3
44,Laptop,1,4931,Elektronik,4931,C005,Ahmet,Antalya,4437.900000000001
303,Mouse,4,4233,Aksesuar,16932,C002,Ayşe,Ankara,3809.7000000000003
111,Kulaklık,2,1885,Aksesuar,3770,C002,Ayşe,Ankara,1696.5
101,Monitor,2,1236,Elektronik,2472,C002,Ayşe,Ankara,1112.4
183,Mouse,1,1282,Aksesuar,1282,C001,Ali,İstanbul,1153.8
103,Tablet,3,2954,Elektronik,8862,C002,Ayşe,Ankara,2658.6
267,Mouse,2,826,Aksesuar,1652,C004,Zeynep,Bursa,743.4
387,Kulaklık,3,2453,Aksesuar,7359,C002,Ayşe,Ankara,2207.7000000000003
148,Telefon,1,2808,Elektronik,2808,C001,Ali,İstanbul,2527.2000000000003
388,Laptop,2,4899,Elektronik,9798,C004,Zeynep,Bursa,4409.1
426,Kulaklık,1,4126,Aksesuar,4126,C001,Ali,İstanbul,3713.4
465,Klavye,4,216,Aksesuar,864,C002,Ayşe,Ankara,194.4
233,Laptop,2,2133,Elektronik,4266,C005,Ahmet,Antalya,1919.7
260,Klavye,2,2365,Aksesuar,4730,C002,Ayşe,Ankara,2128.5
432,Telefon,1,3698,Elektronik,3698,C005,Ahmet,Antalya,3328.2000000000003
493,Tablet,3,2820,Elektronik,8460,C002,Ayşe,Ankara,2538.0
431,Mouse,4,1033,Aksesuar,4132,C002,Ayşe,Ankara,929.7
273,Mouse,3,2566,Aksesuar,7698,C005,Ahmet,Antalya,2309.4
244,Kulaklık,1,2208,Aksesuar,2208,C002,Ayşe,Ankara,1987.2
325,Telefon,4,1385,Elektronik,5540,C005,Ahmet,Antalya,1246.5
245,Kulaklık,1,4168,Aksesuar,4168,C004,Zeynep,Bursa,3751.2000000000003
241,Kulaklık,4,2334,Aksesuar,9336,C005,Ahmet,Antalya,2100.6
401,Telefon,4,2606,Elektronik,10424,C004,Zeynep,Bursa,2345.4
17,Kulaklık,2,3256,Aksesuar,6512,C002,Ayşe,Ankara,2930.4
365,Monitor,3,2614,Elektronik,7842,C001,Ali,İstanbul,2352.6
255,Kulaklık,1,3664,Aksesuar,3664,C002,Ayşe,Ankara,3297.6
190,Kulaklık,2,138,Aksesuar,276,C002,Ayşe,Ankara,124.2
277,Mouse,4,102,Aksesuar,408,C003,Mehmet,İzmir,91.8
15,Tablet,1,874,Elektronik,874,C002,Ayşe,Ankara,786.6
290,Laptop,3,1740,Elektronik,5220,C003,Mehmet,İzmir,1566.0
396,Tablet,3,128,Elektronik,384,C004,Zeynep,Bursa,115.2
464,Monitor,3,1116,Elektronik,3348,C001,Ali,İstanbul,1004.4
367,Mouse,3,4781,Aksesuar,14343,C004,Zeynep,Bursa,4302.900000000001
92,Kulaklık,2,3876,Aksesuar,7752,C001,Ali,İstanbul,3488.4
310,Mouse,2,3120,Aksesuar,6240,C005,Ahmet,Antalya,2808.0
333,Laptop,3,1816,Elektronik,5448,C003,Mehmet,İzmir,1634.4
430,Tablet,1,4063,Elektronik,4063,C003,Mehmet,İzmir,3656.7000000000003
269,Mouse,2,3270,Aksesuar,6540,C001,Ali,İstanbul,2943.0
153,Mouse,1,3826,Aksesuar,3826,C001,Ali,İstanbul,3443.4
192,Monitor,1,3687,Elektronik,3687,C004,Zeynep,Bursa,3318.3
219,Kulaklık,1,1871,Aksesuar,1871,C003,Mehmet,İzmir,1683.9
349,Klavye,1,2503,Aksesuar,2503,C002,Ayşe,Ankara,2252.7000000000003
280,Telefon,1,4976,Elektronik,4976,C005,Ahmet,Antalya,4478.400000000001
298,Laptop,1,1660,Elektronik,1660,C003,Mehmet,İzmir,1494.0
24,Mouse,4,613,Aksesuar,2452,C003,Mehmet,İzmir,551.7
72,Kulaklık,3,1722,Aksesuar,5166,C004,Zeynep,Bursa,1549.8
105,Monitor,2,1433,Elektronik,2866,C004,Zeynep,Bursa,1289.7
295,Mouse,2,4365,Aksesuar,8730,C002,Ayşe,Ankara,3928.5
185,Telefon,3,2767,Elektronik,8301,C004,Zeynep,Bursa,2490.3
47,Telefon,4,3286,Elektronik,13144,C004,Zeynep,Bursa,2957.4
297,Monitor,3,4235,Elektronik,12705,C001,Ali,İstanbul,3811.5
160,Kulaklık,2,4906,Aksesuar,9812,C001,Ali,İstanbul,4415.400000000001
374,Klavye,1,2184,Aksesuar,2184,C002,Ayşe,Ankara,1965.6000000000001
32,Telefon,3,4591,Elektronik,13773,C003,Mehmet,İzmir,4131.900000000001
407,Mouse,1,3456,Aksesuar,3456,C004,Zeynep,Bursa,3110.4
149,Tablet,3,3252,Elektronik,9756,C001,Ali,İstanbul,2926.8
189,Kulaklık,4,4559,Aksesuar,18236,C005,Ahmet,Antalya,4103.1
121,Telefon,1,1340,Elektronik,1340,C002,Ayşe,Ankara,1206.0
331,Laptop,1,462,Elektronik,462,C002,Ayşe,Ankara,415.8
217,Mouse,3,371,Aksesuar,1113,C005,Ahmet,Antalya,333.90000000000003
383,Tablet,2,2852,Elektronik,5704,C001,Ali,İstanbul,2566.8
360,Tablet,3,4555,Elektronik,13665,C003,Mehmet,İzmir,4099.5
36,Telefon,2,3677,Elektronik,7354,C005,Ahmet,Antalya,3309.3
372,Tablet,4,2482,Elektronik,9928,C002,Ayşe,Ankara,2233.8
307,Tablet,3,136,Elektronik,408,C002,Ayşe,Ankara,122.4
138,Telefon,2,3104,Elektronik,6208,C004,Zeynep,Bursa,2793.6
406,Kulaklık,1,4933,Aksesuar,4933,C004,Zeynep,Bursa,4439.7
490,Tablet,3,3036,Elektronik,9108,C003,Mehmet,İzmir,2732.4
195,Laptop,3,4211,Elektronik,12633,C002,Ayşe,Ankara,3789.9
342,Kulaklık,1,4621,Aksesuar,4621,C003,Mehmet,İzmir,4158.900000000001
224,Kulaklık,3,3530,Aksesuar,10590,C003,Mehmet,İzmir,3177.0
467,Monitor,4,683,Elektronik,2732,C003,Mehmet,İzmir,614.7
397,Laptop,2,1006,Elektronik,2012,C003,Mehmet,İzmir,905.4
205,Laptop,2,4954,Elektronik,9908,C002,Ayşe,Ankara,4458.6
155,Klavye,3,4093,Aksesuar,12279,C005,Ahmet,Antalya,3683.7000000000003
237,Tablet,3,804,Elektronik,2412,C003,Mehmet,İzmir,723.6
345,Telefon,1,3841,Elektronik,3841,C005,Ahmet,Antalya,3456.9
33,Tablet,4,1655,Elektronik,6620,C001,Ali,İstanbul,1489.5
90,Laptop,4,3167,Elektronik,12668,C005,Ahmet,Antalya,2850.3
457,Tablet,2,3324,Elektronik,6648,C005,Ahmet,Antalya,2991.6
6,Kulaklık,3,3291,Aksesuar,9873,C002,Ayşe,Ankara,2961.9
80,Klavye,4,554,Aksesuar,2216,C002,Ayşe,Ankara,498.6
35,Laptop,2,1379,Elektronik,2758,C004,Zeynep,Bursa,1241.1000000000001
399,Mouse,1,4099,Aksesuar,4099,C005,Ahmet,Antalya,3689.1
174,Klavye,4,1600,Aksesuar,6400,C005,Ahmet,Antalya,1440.0
347,Telefon,3,4098,Elektronik,12294,C002,Ayşe,Ankara,3688.2000000000003
69,Monitor,2,140,Elektronik,280,C001,Ali,İstanbul,126.0
328,Laptop,4,3339,Elektronik,13356,C004,Zeynep,Bursa,3005.1
458,Laptop,4,2353,Elektronik,9412,C004,Zeynep,Bursa,2117.7000000000003
22,Tablet,1,1408,Elektronik,1408,C003,Mehmet,İzmir,1267.2
293,Laptop,4,1318,Elektronik,5272,C005,Ahmet,Antalya,1186.2
304,Laptop,2,4072,Elektronik,8144,C003,Mehmet,İzmir,3664.8
418,Monitor,4,3193,Elektronik,12772,C005,Ahmet,Antalya,2873.7000000000003
182,Tablet,4,714,Elektronik,2856,C004,Zeynep,Bursa,642.6
220,Mouse,1,1362,Aksesuar,1362,C001,Ali,İstanbul,1225.8
231,Monitor,3,1265,Elektronik,3795,C002,Ayşe,Ankara,1138.5
247,Telefon,2,4905,Elektronik,9810,C001,Ali,İstanbul,4414.5
235,Klavye,3,4488,Aksesuar,13464,C001,Ali,İstanbul,4039.2000000000003
112,Tablet,2,850,Elektronik,1700,C002,Ayşe,Ankara,765.0
73,Laptop,4,441,Elektronik,1764,C003,Mehmet,İzmir,396.90000000000003
223,Tablet,3,1020,Elektronik,3060,C004,Zeynep,Bursa,918.0
474,Tablet,2,2113,Elektronik,4226,C004,Zeynep,Bursa,1901.7
60,Mouse,2,2176,Aksesuar,4352,C003,Mehmet,İzmir,1958.4
134,Monitor,1,2422,Elektronik,2422,C002,Ayşe,Ankara,2179.8
83,Klavye,4,3572,Aksesuar,14288,C001,Ali,İstanbul,3214.8
275,Telefon,1,949,Elektronik,949,C002,Ayşe,Ankara,854.1
296,Telefon,3,4716,Elektronik,14148,C001,Ali,İstanbul,4244.400000000001
82,Laptop,4,1808,Elektronik,7232,C003,Mehmet,İzmir,1627.2
123,Monitor,2,1038,Elektronik,2076,C005,Ahmet,Antalya,934.2
10,Kulaklık,1,264,Aksesuar,264,C005,Ahmet,Antalya,237.6
78,Tablet,3,4363,Elektronik,13089,C001,Ali,İstanbul,3926.7000000000003
393,Klavye,3,862,Aksesuar,2586,C004,Zeynep,Bursa,775.8000000000001
118,Monitor,1,1624,Elektronik,1624,C003,Mehmet,İzmir,1461.6000000000001
88,Tablet,4,3729,Elektronik,14916,C005,Ahmet,Antalya,3356.1
475,Mouse,3,4533,Aksesuar,13599,C002,Ayşe,Ankara,4079.7000000000003
70,Klavye,2,2181,Aksesuar,4362,C001,Ali,İstanbul,1962.9
218,Tablet,3,3611,Elektronik,10833,C004,Zeynep,Bursa,3249.9
130,Mouse,4,271,Aksesuar,1084,C004,Zeynep,Bursa,243.9
469,Laptop,3,3888,Elektronik,11664,C002,Ayşe,Ankara,3499.2000000000003
332,Klavye,4,2704,Aksesuar,10816,C001,Ali,İstanbul,2433.6
209,Telefon,4,913,Elektronik,3652,C002,Ayşe,Ankara,821.7
481,Klavye,3,828,Aksesuar,2484,C002,Ayşe,Ankara,745.2
145,Mouse,4,315,Aksesuar,1260,C003,Mehmet,İzmir,283.5
355,Klavye,4,2085,Aksesuar,8340,C003,Mehmet,İzmir,1876.5
491,Tablet,3,3217,Elektronik,9651,C005,Ahmet,Antalya,2895.3
212,Mouse,3,4672,Aksesuar,14016,C005,Ahmet,Antalya,4204.8
213,Mouse,1,4513,Aksesuar,4513,C003,Mehmet,İzmir,4061.7000000000003
186,Kulaklık,1,230,Aksesuar,230,C003,Mehmet,İzmir,207.0
175,Monitor,3,3394,Elektronik,10182,C002,Ayşe,Ankara,3054.6
318,Klavye,1,2262,Aksesuar,2262,C002,Ayşe,Ankara,2035.8
287,Monitor,1,1480,Elektronik,1480,C001,Ali,İstanbul,1332.0
125,Monitor,2,4220,Elektronik,8440,C001,Ali,İstanbul,3798.0
439,Telefon,2,1909,Elektronik,3818,C003,Mehmet,İzmir,1718.1000000000001
312,Klavye,4,4136,Aksesuar,16544,C005,Ahmet,Antalya,3722.4
173,Kulaklık,2,4922,Aksesuar,9844,C002,Ayşe,Ankara,4429.8
108,Tablet,4,2811,Elektronik,11244,C003,Mehmet,İzmir,2529.9
141,Mouse,2,3994,Aksesuar,7988,C003,Mehmet,İzmir,3594.6
146,Telefon,2,438,Elektronik,876,C003,Mehmet,İzmir,394.2
337,Kulaklık,3,2569,Aksesuar,7707,C005,Ahmet,Antalya,2312.1
179,Tablet,4,4597,Elektronik,18388,C005,Ahmet,Antalya,4137.3
271,Klavye,1,1696,Aksesuar,1696,C003,Mehmet,İzmir,1526.4
194,Monitor,1,2869,Elektronik,2869,C005,Ahmet,Antalya,2582.1
188,Telefon,2,4378,Elektronik,8756,C004,Zeynep,Bursa,3940.2000000000003
28,Klavye,3,1509,Aksesuar,4527,C003,Mehmet,İzmir,1358.1000000000001
84,Kulaklık,3,3069,Aksesuar,9207,C003,Mehmet,İzmir,2762.1
147,Laptop,4,4162,Elektronik,16648,C004,Zeynep,Bursa,3745.8
455,Telefon,2,3046,Elektronik,6092,C002,Ayşe,Ankara,2741.4
473,Laptop,2,373,Elektronik,746,C003,Mehmet,İzmir,335.7
309,Laptop,2,1811,Elektronik,3622,C001,Ali,İstanbul,1629.9
448,Laptop,4,1150,Elektronik,4600,C001,Ali,İstanbul,1035.0
232,Monitor,3,475,Elektronik,1425,C004,Zeynep,Bursa,427.5
142,Klavye,4,4207,Aksesuar,16828,C003,Mehmet,İzmir,3786.3
52,Mouse,4,4133,Aksesuar,16532,C001,Ali,İstanbul,3719.7000000000003
156,Tablet,4,588,Elektronik,2352,C004,Zeynep,Bursa,529.2
40,Telefon,1,2861,Elektronik,2861,C004,Zeynep,Bursa,2574.9
486,Telefon,1,313,Elektronik,313,C004,Zeynep,Bursa,281.7
371,Tablet,2,671,Elektronik,1342,C005,Ahmet,Antalya,603.9
375,Kulaklık,2,377,Aksesuar,754,C003,Mehmet,İzmir,339.3
221,Kulaklık,1,2524,Aksesuar,2524,C005,Ahmet,Antalya,2271.6
462,Laptop,2,1863,Elektronik,3726,C001,Ali,İstanbul,1676.7
484,Monitor,2,3596,Elektronik,7192,C002,Ayşe,Ankara,3236.4
492,Monitor,4,691,Elektronik,2764,C005,Ahmet,Antalya,621.9
79,Laptop,3,709,Elektronik,2127,C002,Ayşe,Ankara,638.1
242,Telefon,3,2141,Elektronik,6423,C005,Ahmet,Antalya,1926.9
89,Tablet,3,4325,Elektronik,12975,C003,Mehmet,İzmir,3892.5
259,Tablet,1,924,Elektronik,924,C001,Ali,İstanbul,831.6
